Chromosome,GeneStart,GeneEnd,GeneLength,ConcTumor,ConcNormal,Fold,FDR,Annotation,Symbol,GeneName,Direction
chr19,13256255,13260234,3980,4.40861827,2.40870596,1.401716637,0.041293329,Promoter ,CACNA1A,calcium voltage-gated channel subunit alpha1 A,Open
chr7,106774905,106795730,20826,4.578166344,2.676358194,1.361764624,0.041293329,Intron ,LINC02577,long intergenic non-protein coding RNA 2577,Open
chr8,127870309,127932701,62393,5.354374442,3.123296095,1.452343287,0.041293329,Promoter ,PVT1,Pvt1 oncogene,Open
chr8,100475704,100501148,25445,5.269861638,2.794946374,1.482541799,0.041293329,Exon ,LOC124901992,uncharacterized LOC124901992,Open
chr17,68511780,68534550,22771,4.390493626,2.587861126,1.290520283,0.041293329,Intron ,PRKAR1A,protein kinase cAMP-dependent type I regulatory subunit alpha,Open
chr21,42219821,42297244,77424,5.724547389,3.59583418,1.369470961,0.041293329,Intron ,ABCG1,ATP binding cassette subfamily G member 1,Open
chr1,225691629,225700609,8981,5.259737372,3.060320503,1.37982272,0.041293329,Promoter ,LOC102723834,uncharacterized LOC102723834,Open
chr14,102539644,102539726,83,4.336417684,2.509990271,1.283541057,0.041293329,Exon ,MIR4309,microRNA 4309,Open
chr1,210439583,210676296,236714,5.492706813,3.10889711,1.400757429,0.041293329,Intron ,HHAT,hedgehog acyltransferase,Open
chr9,107492605,107515215,22611,4.513169778,2.5485646,1.316711467,0.041293329,Intron ,LOC105376206,uncharacterized LOC105376206,Open
chr1,209827972,209857565,29594,5.624164,3.240243441,1.391719448,0.041293329,Promoter ,UTP25,UTP25 small subunit processome component,Open
chr17,62788507,62806640,18134,4.915531787,2.794240471,1.341367843,0.041293329,Exon ,MARCHF10,membrane associated ring-CH-type finger 10,Open
chr20,33358841,33373359,14519,5.631859404,3.183267433,1.386483659,0.041293329,Promoter ,CDK5RAP1,CDK5RAP1 mitochondrial tRNA methylthiotransferase,Open
chr1,151565922,151574927,9006,4.604813345,2.700386728,1.286451411,0.041293329,Distal Intergenic,TUFT1,tuftelin 1,Open
chr8,100258885,100260040,1156,4.449174728,2.758073693,1.219486802,0.041293329,Promoter ,RNF19A,ring finger protein 19A RBR E3 ubiquitin protein ligase,Open
chr8,80034872,80080831,45960,6.266265488,3.711715876,1.387193622,0.041293329,Intron ,TPD52,tumor protein D52,Open
chr17,75459707,75486392,26686,5.317230003,2.969560822,1.364094201,0.041293329,Promoter ,TMEM94,transmembrane protein 94,Open
chr1,207321519,207365940,44422,4.607019944,2.685773638,1.283080286,0.041293329,Intron ,CD55,CD55 molecule ,Open
chr6,138215986,138218491,2506,4.342540865,2.427255431,1.274846385,0.041293329,Intron ,PBOV1,prostate and breast cancer overexpressed 1,Open
chr1,244283989,244325198,41210,4.415509903,2.257559727,1.322322306,0.041293329,Promoter ,LOC105373262,uncharacterized LOC105373262,Open
chr17,59735338,59840106,104769,4.453245297,2.527397351,1.272295836,0.041293329,Intron ,VMP1,vacuole membrane protein 1,Open
chr8,125124144,125367118,242975,4.438007555,2.549044033,1.260766861,0.041293329,Intron ,NSMCE2,NSE2 SUMO ligase component of SMC5/6 complex,Open
chr19,48695971,48704294,8324,4.170520944,2.700082482,1.123044917,0.041293329,Promoter ,FUT2,fucosyltransferase 2 ,Open
chr1,180154897,180198034,43138,5.99522417,3.636494062,1.334287902,0.041293329,Intron ,QSOX1,quiescin sulfhydryl oxidase 1,Open
chr17,57862976,57903389,40414,5.959705217,3.49254499,1.342084252,0.041293329,Promoter ,CUEDC1,CUE domain containing 1,Open
chr17,62749976,62759991,10016,4.520589963,2.539973047,1.267975858,0.041293329,Intron ,MARCHF10,membrane associated ring-CH-type finger 10,Open
chr17,78423697,78577396,153700,6.019135068,3.615284022,1.333919585,0.041293329,Distal Intergenic,DNAH17,dynein axonemal heavy chain 17,Open
chr8,121140049,121145077,5029,5.1148152,3.311674316,1.227039134,0.041293329,Intron ,LOC124902010,uncharacterized LOC124902010,Open
chr17,49132460,49169989,37530,6.200266169,3.563274629,1.342790564,0.041293329,Distal Intergenic,B4GALNT2,beta-14-N-acetyl-galactosaminyltransferase 2 ,Open
chr17,72403327,72519580,116254,4.842536867,2.995238614,1.240022,0.041293329,Promoter ,LINC00673,long intergenic non-protein coding RNA 673,Open
chr1,234959661,234962145,2485,5.019028055,3.012908413,1.273911319,0.041293329,Promoter ,LNCATV,lncRNA negative regulator of antiviral signaling,Open
chr11,69475604,69479957,4354,4.843352974,2.777757673,1.285031182,0.041293329,Promoter ,LINC02747,long intergenic non-protein coding RNA 2747,Open
chr8,126552443,126558478,6036,5.344047437,3.262742512,1.284745277,0.041293329,Intron ,LRATD2,LRAT domain containing 2,Open
