# Program:featureCounts v2.1.1; Command:"featureCounts" "-T" "1" "-p" "-B" "-s" "0" "-t" "exon" "-g" "gene_id" "-a" "unzipped.gtf" "-o" "SRR453566_featurecounts.txt" "SRR453566_final_sorted.bam" 
Geneid	Chr	Start	End	Strand	Length	SRR453566_final_sorted.bam
YDL246C	IV	8683	9756	-	1074	4
YDL243C	IV	17577	18566	-	990	207
YDR387C	IV	1248154	1249821	-	1668	481
YDL094C	IV	289572	290081	-	510	23
YDR438W	IV	1338274	1339386	+	1113	210
YDR523C	IV	1485566	1487038	-	1473	38
YDR542W	IV	1523249	1523611	+	363	0
YDR492W	IV	1434924	1435874	+	951	432
YDR018C	IV	482670	483860	-	1191	24
YDL189W	IV	122216	123589	+	1374	904
YDR508C	IV	1466453	1468444	-	1992	2286
YDR462W	IV	1386073	1386516	+	444	471
YDR175C	IV	813193	814152	-	960	913
YDR186C	IV	832859	835492	-	2634	1465
YDR150W	IV	755628	763874	+	8247	1941
YDR243C	IV	948518	950284	-	1767	243
YDL182W	IV	133437	134723	+	1287	10334
YDR362C	IV	1196679	1198697	-	2019	501
YDR232W	IV	927452	929098	+	1647	1309
YDR158W	IV	770357	771454	+	1098	7358
YDR439W	IV	1339676	1340719	+	1044	276
YDL206W	IV	90176	92464	+	2289	361
YDR125C	IV	701397	702758	-	1362	160
YDR338C	IV	1147379	1149466	-	2088	334
YDR526C	IV	1491075	1491545	-	471	0
YDR533C	IV	1501447	1502160	-	714	1011
YDR272W	IV	1009010	1009834	+	825	931
YDR197W	IV	851228	852397	+	1170	434
YDR512C	IV	1470500	1471063	-	564	298
YDR489W	IV	1431012	1431896	+	885	158
YDR299W	IV	1059627	1061231	+	1605	1187
YDL015C	IV	426002	426934	-	933	2280
YDR304C	IV	1071880	1072557	-	678	1784
YDR271C	IV	1008395	1008766	-	372	0
YDL181W	IV	135179	135436	+	258	796
YDR367W	IV;IV	1212848;1212979	1212877;1213614	+;+	666	527
YDR085C	IV	614288	616150	-	1863	265
YDL097C	IV	285391	286695	-	1305	3243
YDL139C	IV	211375	212046	-	672	129
YDR200C	IV	854279	856093	-	1815	491
YDR191W	IV	842337	843449	+	1113	104
YDR451C	IV	1361120	1362181	-	1062	577
YDR469W	IV	1399015	1399542	+	528	472
YDR470C	IV	1399706	1401214	-	1509	550
YDR105C	IV	665349	666770	-	1422	1113
YDR483W	IV	1421157	1422485	+	1329	2583
YDL123W	IV	241418	241840	+	423	313
YDL199C	IV	101290	103353	-	2064	102
YDR505C	IV	1456695	1459220	-	2526	978
YDL045W-A	IV	372248	372535	+	288	573
YDL045C	IV	372688	373608	-	921	427
YDR361C	IV	1195412	1196263	-	852	1074
YDR406W-A	IV	1283799	1284044	+	246	0
YDR199W	IV	854175	854540	+	366	1
YDR266C	IV	1000104	1002023	-	1920	1018
YDL242W	IV	18959	19312	+	354	44
YDR002W	IV	453045	453650	+	606	3927
YDR214W	IV	892875	893927	+	1053	2125
YDR130C	IV	715747	716622	-	876	351
YDL176W	IV	142097	144223	+	2127	265
YDR358W	IV	1190059	1191732	+	1674	391
YDR544C	IV	1525095	1525523	-	429	0
YDR460W	IV	1383811	1384776	+	966	448
snR84	IV	1492477	1493026	-	550	81
YDR034W-B	IV	521314	521469	+	156	63
YDL028C	IV	400997	403291	-	2295	582
YDR061W	IV	574164	575783	+	1620	1035
YDR060W	IV	570649	573726	+	3078	3430
YDR169C-A	IV	794574	794723	-	150	13
YDR363W	IV	1199183	1200553	+	1371	261
YDR422C	IV	1315326	1317773	-	2448	694
YDR119W	IV	688227	690533	+	2307	2436
tR(ACG)D	IV	619969	620041	-	73	5
YDR097C	IV	640109	643837	-	3729	1139
YDR042C	IV	540601	541203	-	603	20
YDL160C	IV	170410	171930	-	1521	436
YDR425W	IV	1320064	1321941	+	1878	242
snR13	IV	1402919	1403042	+	124	21
YDR228C	IV	921926	923806	-	1881	560
YDR319C	IV	1105003	1105827	-	825	355
YDR471W	IV;IV	1401770;1402185	1401800;1402564	+;+	411	7001
YDR089W	IV	622112	624721	+	2610	1097
tD(GUC)D	IV	568964	569035	+	72	1
YDR275W	IV	1012252	1012959	+	708	334
YDR043C	IV	542674	543369	-	696	410
YDR129C	IV;IV	713340;715359	715247;715379	-;-	1929	3245
YDR136C	IV	727711	728283	-	573	0
YDL066W	IV	334835	336121	+	1287	3385
YDR302W	IV	1067731	1068390	+	660	530
YDR239C	IV	941057	943420	-	2364	383
YDR539W	IV	1512094	1513605	+	1512	245
tK(CUU)D1	IV	1201750	1201822	+	73	0
YDL125C	IV;IV	239019;239510	239398;239606	-;-	477	1794
YDR493W	IV	1436217	1436588	+	372	396
YDR101C	IV	655686	657467	-	1782	1664
YDR182W-A	IV	829151	829354	+	204	23
YDR212W	IV	887232	888911	+	1680	3169
YDR476C	IV	1410453	1411127	-	675	337
YDL131W	IV	227393	228715	+	1323	5811
YDR458C	IV	1380055	1382046	-	1992	894
YDR081C	IV	607304	610081	-	2778	790
YDL071C	IV	330666	331040	-	375	68
YDR113C	IV	680496	681617	-	1122	382
YDR168W	IV	790328	791848	+	1521	1230
YDR520C	IV	1481085	1483403	-	2319	324
YDR307W	IV	1075865	1077853	+	1989	881
YDR265W	IV	998864	999877	+	1014	384
YDL076C	IV	320668	321552	-	885	539
YDL006W	IV	439909	440754	+	846	457
YDL086W	IV	301413	302234	+	822	346
YDR238C	IV	937895	940816	-	2922	3130
YDR077W	IV	600793	601809	+	1017	7583
YDR381C-A	IV;IV	1238312;1238825	1238630;1238850	-;-	345	410
YDL023C	IV	411761	412081	-	321	3
YDL083C	IV;IV	306926;307766	307333;307789	-;-	432	10807
YDR036C	IV	523211	524713	-	1503	215
YDR057W	IV	565927	567555	+	1629	606
YDR513W	IV	1471017	1471448	+	432	473
YDR487C	IV	1428354	1428980	-	627	1244
YDR066C	IV	581908	582498	-	591	137
YDR352W	IV	1181801	1182754	+	954	536
YDR278C	IV	1017001	1017318	-	318	0
YDR079C-A	IV	603593	603811	-	219	294
YDR204W	IV	858137	859144	+	1008	275
YDL247W-A	IV	3762	3836	+	75	10
YDL024C	IV	408451	409857	-	1407	35
tA(AGC)D	IV	410379	410451	+	73	0
YDR109C	IV	673520	675667	-	2148	479
YDR466W	IV	1395121	1397817	+	2697	426
YDR427W	IV	1322205	1323386	+	1182	2034
YDL044C	IV	373967	375289	-	1323	312
YDL079C	IV;IV	312951;314337	314044;314748	-;-	1506	165
YDR193W	IV	844554	844952	+	399	0
YDR305C	IV;IV	1072746;1073402	1073312;1073488	-;-	654	344
YDR377W	IV	1228611	1228916	+	306	1824
YDR219C	IV	905455	906852	-	1398	466
YDR416W	IV	1298432	1301011	+	2580	524
YDR365C	IV	1204497	1206383	-	1887	2313
YDL233W	IV	36797	38173	+	1377	255
YDR287W	IV	1035995	1036873	+	879	283
YDR448W	IV	1356065	1357369	+	1305	390
YDR180W	IV	821295	825776	+	4482	518
tF(GAA)D	IV;IV	1095370;1095425	1095405;1095461	-;-	73	4
tT(AGU)D	IV	434264	434336	-	73	0
YDR294C	IV	1050459	1052228	-	1770	1442
YDR198C	IV	852533	853972	-	1440	349
YDL163W	IV	166956	167258	+	303	0
YDL119C	IV	246689	247612	-	924	109
YDR501W	IV	1451353	1452918	+	1566	267
YDL214C	IV	74446	76545	-	2100	82
YDR264C	IV	996029	998323	-	2295	2504
YDR343C	IV	1159608	1161320	-	1713	25
YDR373W	IV	1222759	1223331	+	573	675
YDR354W	IV	1184747	1185889	+	1143	931
YDR246W	IV	954288	954947	+	660	316
YDR428C	IV	1323454	1324239	-	786	253
YDR157W	IV	769931	770332	+	402	16
YDR316W	IV	1093763	1095178	+	1416	1077
YDL142C	IV	201719	202570	-	852	235
YDR253C	IV	963990	964565	-	576	461
YDL112W	IV	258915	263225	+	4311	1426
YDR545W	IV	1526321	1531711	+	5391	2
YDL187C	IV	125509	125838	-	330	0
YDL138W	IV	213351	215642	+	2292	563
YDR528W	IV	1494586	1495857	+	1272	422
YDR284C	IV	1030550	1031419	-	870	1110
YDR050C	IV	555726	556472	-	747	32401
YDL010W	IV	432330	433025	+	696	133
YDL065C	IV	336249	337277	-	1029	805
YDR349C	IV	1172386	1174176	-	1791	1191
YDL098C	IV	284581	285165	-	585	148
YDL234C	IV	34237	36477	-	2241	623
YDR118W	IV	685882	687840	+	1959	307
YDR118W-A	IV	687768	687884	+	117	5
YDR159W	IV	771877	775782	+	3906	778
YDR111C	IV	678241	679764	-	1524	237
YDR128W	IV	709549	712995	+	3447	831
YDL034W	IV	391783	392127	+	345	17
YDR065W	IV	580687	581784	+	1098	261
YDL004W	IV	443029	443511	+	483	1367
YDR024W	IV	491017	491502	+	486	12
YDL171C	IV	149203	155640	-	6438	5366
YDR083W	IV	612073	613251	+	1179	953
YDR457W	IV	1369790	1379596	+	9807	2606
YDR014W	IV	474046	475989	+	1944	171
YDR206W	IV	862054	864708	+	2655	1374
YDR478W	IV	1414575	1415171	+	597	211
YDR169C	IV	792348	793889	-	1542	564
YDR115W	IV	682175	682492	+	318	419
YDL159W-A	IV	172182	172313	+	132	10
YDL232W	IV	38487	38597	+	111	477
YDL240C-A	IV	22471	22608	-	138	3
tE(CUC)D	IV	1017207	1017278	-	72	0
YDL152W	IV	182822	183187	+	366	0
YDR432W	IV	1328783	1330027	+	1245	2227
YDL022C-A	IV	409808	410056	-	249	0
YDL114W-A	IV	254935	255048	+	114	0
YDR410C	IV	1292372	1293091	-	720	358
YDR464C-A	IV	1392492	1392680	-	189	0
YDL072C	IV	329836	330447	-	612	1242
YDR053W	IV	560249	560644	+	396	21
YDL012C	IV;IV	431108;431473	431386;431517	-;-	324	433
YDR482C	IV	1420431	1420838	-	408	186
YDL070W	IV	331024	332940	+	1917	2340
YDR064W	IV;IV	579458;580018	579478;580452	+;+	456	14696
YDL135C	IV	218680	219288	-	609	850
YDL077C	IV	316971	320120	-	3150	562
YDR354C-A	IV	1185139	1185282	-	144	0
YDL033C	IV	392659	393912	-	1254	215
YDL031W	IV	394217	397204	+	2988	1797
YDR398W	IV	1267471	1269402	+	1932	1238
YDR326C	IV	1120609	1124925	-	4317	1585
YDL052C	IV	362672	363583	-	912	926
YDR536W	IV	1508005	1509714	+	1710	84
YDR397C	IV;IV	1266366;1266862	1266769;1266898	-;-	441	18
YDL116W	IV	251566	253746	+	2181	885
YDR028C	IV	497835	500879	-	3045	2099
YDL007W	IV	438047	439360	+	1314	4821
YDR236C	IV	935236	935892	-	657	355
YDR011W	IV	465919	470424	+	4506	1994
YDR155C	IV	768512	769000	-	489	6651
YDR414C	IV	1295598	1296686	-	1089	597
YDR026C	IV	492556	494268	-	1713	595
YDL073W	IV	326613	329567	+	2955	974
tY(GUA)D	IV;IV	946312;946365	946350;946400	+;+	75	1
YDL115C	IV;IV	253995;255045	254974;255126	-;-	1062	435
YDL145C	IV	194571	198176	-	3606	3871
YDR203W	IV	857682	857999	+	318	1
YDL104C	IV	273653	274876	-	1224	229
YDL149W	IV	184925	187918	+	2994	313
YDR231C	IV	926293	926910	-	618	269
YDR045C	IV	547978	548310	-	333	482
YDL075W	IV;IV	322226;322704	322282;322988	+;+	342	9894
YDR415C	IV	1297037	1298161	-	1125	535
YDR339C	IV	1149951	1150520	-	570	676
YDL213C	IV	77289	77966	-	678	1054
YDR096W	IV	637139	639823	+	2685	343
YDL019C	IV	417663	421514	-	3852	1544
YDL022W	IV	411825	413000	+	1176	1897
YDR413C	IV	1294836	1295411	-	576	0
YDR391C	IV	1257358	1258056	-	699	159
YDR091C	IV	626708	628534	-	1827	3466
YDR240C	IV	943674	945152	-	1479	274
YDL244W	IV	16204	17226	+	1023	18
YDR179C	IV	818708	819196	-	489	196
YDL165W	IV	164290	164865	+	576	420
YDL140C	IV	205360	210561	-	5202	3950
YDR120C	IV	691549	693261	-	1713	1640
YDR003W	IV	454122	454754	+	633	342
YDR499W	IV	1447830	1450073	+	2244	466
YDR166C	IV	786306	789221	-	2916	680
YDL092W	IV	292781	293221	+	441	629
YDL041W	IV	378102	378455	+	354	0
YDL241W	IV	20635	21006	+	372	131
YDL082W	IV;IV	308424;308793	308427;309388	+;+	600	6672
YDR277C	IV	1014401	1015702	-	1302	408
YDR291W	IV	1039728	1042961	+	3234	667
YDR475C	IV	1407464	1410094	-	2631	707
YDR244W	IV	950563	952401	+	1839	598
YDR407C	IV	1284069	1287938	-	3870	1026
YDR382W	IV	1239492	1239824	+	333	8863
YDR102C	IV	657648	657980	-	333	32
YDL188C	IV	123865	124998	-	1134	906
YDR405W	IV	1277646	1278437	+	792	894
YDR443C	IV	1345676	1349938	-	4263	413
YDR059C	IV;IV	569234;569724	569633;569770	-;-	447	216
YDR144C	IV	744311	746101	-	1791	1198
YDL157C	IV	174232	174588	-	357	688
YDL058W	IV	345665	351037	+	5373	1491
YDL096C	IV	286998	287324	-	327	0
YDL155W	IV	176773	178056	+	1284	762
YDR147W	IV	751631	753235	+	1605	536
YDL191W	IV;IV	117664;118158	117666;118517	+;+	363	11567
YDL128W	IV	232652	233887	+	1236	1377
YDR310C	IV	1081128	1084316	-	3189	1501
YDL160C-A	IV	169366	169608	-	243	173
YDR127W	IV	704484	709250	+	4767	4810
YDR497C	IV	1443713	1445467	-	1755	11046
YDL162C	IV	167359	167715	-	357	1
tS(AGA)D3	IV	1305630	1305712	+	83	2
YDR201W	IV	856317	856814	+	498	283
YDR163W	IV	781423	781950	+	528	391
YDL146W	IV	192750	194225	+	1476	254
YDR363W-A	IV	1202128	1202397	+	270	1307
YDL221W	IV	62011	62562	+	552	55
YDL089W	IV	296820	298274	+	1455	447
YDR385W	IV	1243230	1245758	+	2529	7292
YDR331W	IV	1129588	1130823	+	1236	764
YDR196C	IV	850274	850999	-	726	460
YDR116C	IV	682724	683581	-	858	874
YDR001C	IV	450220	452475	-	2256	864
YDL230W	IV	42700	43707	+	1008	327
YDR160W	IV	776163	778721	+	2559	513
YDR123C	IV	698554	699468	-	915	364
YDR322W	IV	1110589	1111692	+	1104	800
YDR040C	IV	535192	538467	-	3276	43
YDR025W	IV;IV	491515;491899	491559;492324	+;+	471	8940
YDR046C	IV	548762	550576	-	1815	911
YDL057W	IV	351434	352420	+	987	168
YDL248W	IV	1802	2953	+	1152	598
YDR008C	IV	462252	462602	-	351	5
YDR029W	IV	501100	501414	+	315	137
YDR485C	IV	1424820	1427207	-	2388	548
YDR408C	IV	1288215	1288859	-	645	1892
YDR038C	IV	527422	530697	-	3276	25
YDL204W	IV	94605	95786	+	1182	172
YDR019C	IV	484163	485365	-	1203	3948
YDR477W	IV	1412373	1414274	+	1902	1249
YDR254W	IV	965113	966489	+	1377	389
YDR514C	IV	1471548	1472999	-	1452	562
YDR296W	IV	1055212	1055892	+	681	679
YDL216C	IV	68997	70319	-	1323	231
YDL100C	IV	282112	283176	-	1065	2955
YDL068W	IV	333500	333829	+	330	12
YDL026W	IV	404749	405060	+	312	0
YDL124W	IV	240259	241197	+	939	1411
YDL227C	IV	46271	48031	-	1761	1413
YDL111C	IV	263313	264110	-	798	717
YDR324C	IV	1114433	1116763	-	2331	1927
YDL170W	IV	156318	157904	+	1587	649
YDR317W	IV	1102184	1103428	+	1245	173
YDR436W	IV	1334821	1336953	+	2133	354
YDR208W	IV	868224	870563	+	2340	1140
YDR386W	IV	1246084	1247982	+	1899	335
YDR504C	IV	1456311	1456694	-	384	157
YDL220C	IV	62244	65018	-	2775	256
YDR396W	IV	1266295	1266795	+	501	33
YDR258C	IV	971808	974243	-	2436	2988
YDR176W	IV	814452	816560	+	2109	1179
YDL099W	IV	283419	284444	+	1026	1065
YDR380W	IV	1234218	1236125	+	1908	251
YDL110C	IV	264512	264964	-	453	549
YDR148C	IV	753675	755066	-	1392	1248
YDL201W	IV	99561	100421	+	861	504
YDL107W	IV	268921	269976	+	1056	304
YDR515W	IV	1473429	1474772	+	1344	668
YDR133C	IV	720962	721297	-	336	2700
YDR378C	IV	1229349	1229609	-	261	682
YDR473C	IV	1404445	1405854	-	1410	396
YDR403W	IV	1274602	1276212	+	1611	115
YDR268W	IV	1004004	1005143	+	1140	384
YDR409W	IV	1289406	1292120	+	2715	535
YDR173C	IV	810565	811632	-	1068	321
YDR187C	IV	836228	836746	-	519	28
YDR389W	IV	1252537	1254501	+	1965	916
YDR417C	IV	1301555	1301926	-	372	1
YDR165W	IV	784871	786205	+	1335	1287
YDL113C	IV	256633	258555	-	1923	481
YDR426C	IV	1321629	1322006	-	378	0
YDR521W	IV	1483141	1483476	+	336	2
YDR086C	IV	616928	617170	-	243	1968
YDL021W	IV	413953	414888	+	936	134
YDR023W	IV	489508	490896	+	1389	4892
YDR394W	IV	1261681	1262967	+	1287	2561
YDR320C-A	IV	1108280	1108498	-	219	318
YDR003W-A	IV	454782	454904	+	123	68
YDR183W	IV	829585	830277	+	693	218
YDR245W	IV	952800	953981	+	1182	2262
YDR431W	IV	1328390	1328701	+	312	0
YDL154W	IV	178334	181039	+	2706	205
YDL184C	IV	130407	130484	-	78	15586
YDR153C	IV	766736	767971	-	1236	785
YDR014W-A	IV	477797	478285	+	489	5
YDR434W	IV	1331237	1332841	+	1605	1212
YDL002C	IV	446967	447578	-	612	532
YDR225W	IV	915530	915928	+	399	4981
YDR418W	IV	1301616	1302113	+	498	2053
YDR224C	IV	914317	914712	-	396	7752
YDR502C	IV	1453310	1454464	-	1155	18365
YDR447C	IV;IV	1354829;1355551	1355236;1355553	-;-	411	13975
YDL039C	IV	381985	384081	-	2097	791
YDL225W	IV	52445	54100	+	1656	994
YDR259C	IV	974631	975782	-	1152	134
YDR495C	IV	1438115	1441150	-	3036	411
YDL151C	IV	183318	183899	-	582	10
YDR357C	IV	1189199	1189567	-	369	323
YDR370C	IV	1217782	1219110	-	1329	431
YDR298C	IV	1058176	1058814	-	639	2504
YDR276C	IV	1013476	1013643	-	168	3172
YDL185C-A	IV	126608	126835	-	228	5
YDR545C-A	IV	1530863	1531342	-	480	0
tM(CAU)D	IV	1175829	1175901	+	73	0
YDL247W	IV	5985	7814	+	1830	8
YDR406W	IV	1279210	1283799	+	4590	647
YDR273W	IV	1010176	1011273	+	1098	96
YDR269C	IV	1005665	1005988	-	324	0
YDR453C	IV	1365072	1365662	-	591	74
YDR383C	IV	1239960	1240676	-	717	166
YDR375C	IV	1225166	1226536	-	1371	859
YDL161W	IV	167714	169078	+	1365	981
YDL051W	IV	363952	364779	+	828	1223
YDR084C	IV	613405	614004	-	600	596
YDL056W	IV	352877	355378	+	2502	725
YDR344C	IV	1162006	1162449	-	444	29
YDR320C	IV	1106095	1108101	-	2007	436
YDR221W	IV	907330	909438	+	2109	822
tI(AAU)D	IV	668007	668080	-	74	1
YDL032W	IV	393690	394001	+	312	0
YDR456W	IV	1367485	1369386	+	1902	923
YDL036C	IV	387513	388901	-	1389	359
tL(CAA)D	IV;IV	1461715;1461792	1461758;1461829	-;-	82	0
YDL217C	IV	67983	68606	-	624	583
snR63	IV	323217	323471	-	255	93
YDR334W	IV	1135932	1140476	+	4545	1449
YDL049C	IV	365068	365874	-	807	269
YDL164C	IV	164987	167254	-	2268	892
YDR384C	IV	1241204	1242031	-	828	445
YDR149C	IV	755555	756262	-	708	1
YDR093W	IV	631282	636120	+	4839	1335
YDR071C	IV	588827	589402	-	576	1489
YDL143W	IV	199996	201582	+	1587	3207
YDR032C	IV	504099	504695	-	597	1359
tR(UCU)D	IV	568882	568953	+	72	0
YDR063W	IV	578663	579112	+	450	469
YDL166C	IV	163449	164042	-	594	613
YDR004W	IV	455201	456583	+	1383	588
YDR151C	IV	764178	765155	-	978	534
YDR037W	IV	525440	527215	+	1776	3476
YDL175C	IV	144484	145518	-	1035	330
YDR286C	IV	1035231	1035575	-	345	126
YDR172W	IV	808324	810381	+	2058	4581
YDL174C	IV	145826	147589	-	1764	4155
YDR080W	IV	604008	606986	+	2979	615
YDR503C	IV	1455042	1455866	-	825	225
YDR069C	IV	584939	587719	-	2781	411
YDR047W	IV	551860	552948	+	1089	1008
YDR215C	IV	894089	894502	-	414	22
YDR267C	IV	1002510	1003502	-	993	636
YDR142C	IV	740473	741600	-	1128	250
YDL212W	IV	78426	79058	+	633	2358
YDR249C	IV	958681	959802	-	1122	168
YDL209C	IV	86207	87226	-	1020	236
YDR044W	IV	546642	547628	+	987	475
tK(UUU)D	IV;IV	359577;359637	359613;359672	+;+	73	6
YDR311W	IV	1085065	1086993	+	1929	501
YDL159C-B	IV	173056	173232	-	177	0
YDR222W	IV	910054	911301	+	1248	338
YDR510C-A	IV	1469695	1469811	-	117	19
YDR401W	IV	1272223	1272786	+	564	0
YDR207C	IV	865012	867522	-	2511	485
YDL005C	IV	441014	442309	-	1296	658
YDR295C	IV	1052623	1054647	-	2025	490
YDR543C	IV	1524634	1524933	-	300	0
YDL208W	IV	87512	87982	+	471	2473
YDR135C	IV	723004	727551	-	4548	3752
YDL114W	IV	255604	256530	+	927	12
YDR247W	IV	956013	957398	+	1386	181
YDL197C	IV	104917	106494	-	1578	402
YDR229W	IV	924785	926146	+	1362	393
YDR095C	IV	636117	636527	-	411	3
YDR027C	IV	494649	497318	-	2670	900
YDL106C	IV	270222	271901	-	1680	434
YDR404C	IV	1276654	1277169	-	516	638
YDR256C	IV	968133	969680	-	1548	195
YDR518W	IV	1478608	1480161	+	1554	430
YDR055W	IV	563527	564861	+	1335	1877
YDL087C	IV	300214	300999	-	786	117
YDR177W	IV	816878	817525	+	648	1317
YDL014W	IV	427364	428347	+	984	5912
YDR289C	IV	1038280	1039509	-	1230	426
YDL159W	IV	172481	174028	+	1548	227
YDR532C	IV	1499396	1500553	-	1158	345
YDR137W	IV	728259	730250	+	1992	608
YDL153C	IV	181186	183018	-	1833	1340
YDR393W	IV	1259901	1261271	+	1371	634
YDR506C	IV	1459728	1461554	-	1827	279
YDL219W	IV;IV	65242;65378	65306;65765	+;+	453	523
YDL090C	IV	295034	296329	-	1296	360
YDR033W	IV	508147	509109	+	963	10823
YDR035W	IV	521816	522928	+	1113	2648
YDR332W	IV	1131001	1133070	+	2070	304
YDR510W	IV	1469400	1469705	+	306	1120
YDL055C	IV	355674	356759	-	1086	13114
YDR480W	IV	1417399	1418370	+	972	267
YDL103C	IV	275148	276581	-	1434	867
YDL085C-A	IV	302464	302670	-	207	480
YDR350C	IV	1176120	1178174	-	2055	540
YDR342C	IV	1154216	1155928	-	1713	149
YDR087C	IV	617470	618306	-	837	782
YDL236W	IV	32296	33234	+	939	1286
YDR012W	IV	471853	472941	+	1089	8401
YDL121C	IV	245133	245582	-	450	1051
YDR525W-A	IV	1490596	1490835	+	240	116
tG(GCC)D2	IV	992832	992902	+	71	11
YDL190C	IV	118707	121592	-	2886	1142
YDL047W	IV	369771	370706	+	936	889
YDR099W	IV	653607	654428	+	822	2595
YDR092W	IV;IV	629876;630174	629905;630605	+;+	462	660
YDR164C	IV	782041	784215	-	2175	759
YDR058C	IV	567723	568703	-	981	230
YDL020C	IV	415113	416708	-	1596	1304
YDL025C	IV	405344	407206	-	1863	759
YDR374C	IV	1223474	1224394	-	921	30
YDL207W	IV	88248	89864	+	1617	706
YDR270W	IV	1005675	1008689	+	3015	751
YDR152W	IV	765706	766503	+	798	927
YDL148C	IV	188154	190586	-	2433	1723
tI(UAU)D	IV;IV	884361;884458	884397;884493	+;+	73	3
YDR379C-A	IV	1233278	1233517	-	240	96
YDR218C	IV	903781	905052	-	1272	34
YDL018C	IV	422833	423510	-	678	464
YDR507C	IV	1462358	1465786	-	3429	1744
YDL003W	IV	444683	446383	+	1701	1481
YDR524C-B	IV	1489598	1489798	-	201	17144
YDR371W	IV	1219413	1220948	+	1536	353
YDR359C	IV	1191936	1194884	-	2949	675
YDL180W	IV	135896	137539	+	1644	620
YDL133W	IV	222427	223740	+	1314	411
YDR335W	IV	1141168	1144842	+	3675	2108
YDR351W	IV	1178666	1181260	+	2595	755
YDL150W	IV	183343	184611	+	1269	371
YDL177C	IV	141209	141721	-	513	188
YDR171W	IV	806621	807748	+	1128	767
YDR364C	IV	1202843	1204210	-	1368	365
YDR309C	IV	1079048	1080199	-	1152	727
YDL239C	IV	26403	28775	-	2373	244
YDL228C	IV	45277	45918	-	642	9
YDL156W	IV	174918	176486	+	1569	259
YDL016C	IV	425570	425872	-	303	126
tX(XXX)D	IV	1150842	1150941	-	100	0
YDR524W-C	IV	1489403	1489492	+	90	8938
YDL085W	IV	303211	304848	+	1638	58
YDR300C	IV	1061505	1062791	-	1287	1111
YDL168W	IV	159604	160764	+	1161	1284
YDR360W	IV	1194598	1195032	+	435	15
YDR195W	IV	848599	850200	+	1602	457
YDR321W	IV	1108702	1109847	+	1146	1153
YDR237W	IV	936615	937493	+	879	1212
YDL127W	IV	234927	235853	+	927	281
YDR107C	IV	669016	671034	-	2019	347
YDR472W	IV	1403322	1404173	+	852	488
YDL030W	IV	397537	399129	+	1593	418
YDR468C	IV	1398026	1398700	-	675	635
YDL084W	IV	305237	306577	+	1341	5336
YDL203C	IV	96082	97953	-	1872	583
YDL025W-A	IV	405410	405514	+	105	0
